(---------------------------------------------------------------------)
(                                                                     )
(    PLCTXT Log                                                       )
(                                                                     )
(    Drawing          : Untitled_4.brd                                )
(    Software Version : 25.1P001                                      )
(    Date/Time        : Sat Jan 31 16:51:16 2026                      )
(                                                                     )
(---------------------------------------------------------------------)



 Place by text file using: C:/Users/lonewolf/Desktop/Custom Wireless Keyboard/Board/place_txt.txt

 Save as C:/Users/lonewolf/Desktop/Custom Wireless Keyboard/Board/#Taaaagx10776.tmp 
DS1                  !    11.8100 !     4.0414 !        0 !        ! NHD-0216XZ-FSW-GBW               !                                 
S69                  !     8.4240 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S79                  !    10.3896 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S84                  !     9.9088 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S88                  !    14.4768 !     0.8750 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S89                  !     8.9856 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S90                  !     9.9572 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S91                  !    10.7328 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S92                  !    10.8576 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S93                  !    11.4676 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S1                   !     0.5488 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S10                  !     7.2880 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S11                  !     0.5488 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S12                  !     1.2976 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S85                  !    12.2304 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S13                  !     2.0464 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S86                  !    12.9792 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S14                  !     2.7952 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S87                  !    13.7280 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S15                  !     3.5440 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S80                  !    12.2304 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S16                  !     4.2928 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S81                  !    12.9792 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S17                  !     5.0416 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S82                  !    13.7280 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S18                  !     5.7904 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S73                  !    12.2304 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S19                  !     6.5392 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S74                  !    12.9792 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S2                   !     1.2976 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S20                  !     7.2880 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S75                  !    13.7280 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S21                  !     0.7360 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S22                  !     1.6720 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S23                  !     2.4208 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S24                  !     3.1696 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S25                  !     3.9184 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S26                  !     4.6672 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S27                  !     5.4160 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S28                  !     6.1648 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S29                  !     6.9136 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S3                   !     2.0464 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S30                  !     7.6624 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S31                  !     0.8296 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S32                  !     1.8592 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S33                  !     2.6080 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S34                  !     3.3568 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S35                  !     4.1056 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S36                  !     4.8544 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S37                  !     5.6032 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S38                  !     6.3520 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S39                  !     7.1008 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S4                   !     2.7952 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S40                  !     7.8496 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S41                  !     1.0168 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S42                  !     2.2336 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S43                  !     2.9824 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S44                  !     3.7312 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S45                  !     4.4800 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S46                  !     5.2288 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S47                  !     5.9776 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S48                  !     6.7264 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S49                  !     7.4752 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S5                   !     3.5440 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S50                  !     8.2240 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S51                  !     0.5496 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S52                  !     1.2976 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S53                  !     2.0464 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S54                  !     2.7952 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S55                  !     5.5096 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S56                  !     8.2240 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S57                  !     8.0368 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S58                  !     8.7856 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S59                  !     9.5344 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S6                   !     4.2928 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S60                  !    10.4704 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S61                  !     8.0368 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S94                  !    12.6048 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S62                  !     8.7856 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S68                  !    14.4768 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S63                  !     9.5344 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S64                  !    10.4704 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S65                  !    12.2304 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S66                  !    12.9792 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S67                  !    13.7280 !     3.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S7                   !     5.0416 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S70                  !     9.1600 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S71                  !     9.9088 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S72                  !    10.6576 !     2.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S76                  !    14.4768 !     2.3750 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S77                  !     8.5984 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S78                  !     9.3472 !     2.0000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S8                   !     5.7904 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S83                  !     8.9728 !     1.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S9                   !     6.5392 !     4.2500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S95                  !    13.7280 !     0.5000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
C2                   !    14.7264 !     4.9375 !      180 !        ! CAPC17595_90N_KEM-L              !                                 
C1                   !    14.7823 !     4.4375 !      180 !        ! CAPC17595_90N_KEM-L              !                                 
C9                   !     3.8404 !     5.0621 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C13                  !     6.7441 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C14                  !     7.2317 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C12                  !     5.9981 !     5.0621 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C16                  !     8.3093 !     5.0625 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C17                  !     8.7887 !     5.0625 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C15                  !     7.8427 !     5.0621 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C18                  !     9.2877 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C19                  !     9.7554 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C3                   !    14.4118 !     4.8625 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C4                   !     0.2601 !     5.0620 !      180 !        ! CAPC6333_33N_KEM-L               !                                 
C5                   !     0.8321 !     5.0317 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C6                   !     1.5427 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C7                   !     2.2478 !     5.0317 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C8                   !     3.1246 !     5.0317 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C10                  !     4.4735 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C11                  !     5.2323 !     5.0620 !        0 !        ! CAPC6333_33N_KEM-L               !                                 
C20                  !    11.5691 !     4.5625 !        0 !      m ! SMDCAP                           !                                 
C21                  !    10.2904 !     4.5100 !        0 !      m ! SMDCAP                           !                                 
C22                  !    10.5147 !     4.9474 !       90 !      m ! CAPC6333_33N_KEM-L               !                                 
